x,y,attempt,log_attempt,made,missed
252,504,51,1.7075701760979363,22,29
264,504,69,1.8388490907372552,25,44
276,504,94,1.9731278535996986,35,59
288,504,103,2.012837224705172,36,67
300,504,26,1.414973347970818,10,16
468,504,10,1.0,5,5
480,504,14,1.146128035678238,7,7
252,516,22,1.3424226808222062,5,17
264,516,47,1.6720978579357175,19,28
276,516,78,1.8920946026904804,24,54
288,516,97,1.9867717342662448,30,67
300,516,88,1.9444826721501687,32,56
312,516,34,1.5314789170422551,12,22
492,516,13,1.1139433523068367,4,9
240,528,13,1.1139433523068367,7,6
252,528,10,1.0,1,9
264,528,24,1.380211241711606,6,18
276,528,44,1.6434526764861874,13,31
288,528,59,1.7708520116421442,20,39
300,528,108,2.03342375548695,36,72
312,528,104,2.0170333392987803,44,60
324,528,51,1.7075701760979363,25,26
336,528,18,1.255272505103306,4,14
252,540,12,1.0791812460476249,1,11
264,540,12,1.0791812460476249,6,6
276,540,21,1.3222192947339193,10,11
288,540,44,1.6434526764861874,15,29
300,540,40,1.6020599913279623,14,26
312,540,73,1.863322860120456,29,44
324,540,79,1.8976270912904414,30,49
336,540,64,1.806179973983887,20,44
348,540,35,1.5440680443502757,12,23
360,540,10,1.0,3,7
288,552,10,1.0,1,9
300,552,23,1.3617278360175928,5,18
312,552,42,1.6232492903979006,15,27
324,552,50,1.6989700043360187,14,36
336,552,72,1.8573324964312685,29,43
348,552,94,1.9731278535996986,40,54
360,552,59,1.7708520116421442,19,40
372,552,39,1.591064607026499,20,19
384,552,10,1.0,5,5
300,564,11,1.0413926851582251,5,6
312,564,12,1.0791812460476249,7,5
324,564,26,1.414973347970818,12,14
336,564,19,1.2787536009528289,7,12
348,564,38,1.5797835966168101,15,23
360,564,72,1.8573324964312685,20,52
372,564,82,1.9138138523837167,29,53
384,564,77,1.8864907251724818,27,50
396,564,49,1.6901960800285136,21,28
408,564,27,1.4313637641589874,7,20
420,564,16,1.2041199826559248,11,5
360,576,12,1.0791812460476249,6,6
372,576,28,1.4471580313422192,8,20
384,576,39,1.591064607026499,16,23
396,576,62,1.792391689498254,18,44
408,576,60,1.7781512503836436,23,37
420,576,70,1.845098040014257,26,44
432,576,77,1.8864907251724818,25,52
444,576,72,1.8573324964312685,26,46
456,576,97,1.9867717342662448,28,69
468,576,114,2.0569048513364727,29,85
480,576,174,2.2405492482826,60,114
492,576,286,2.456366033129043,105,181
504,576,226,2.3541084391474008,93,133
516,576,107,2.0293837776852097,43,64
528,576,32,1.505149978319906,8,24
420,588,15,1.1760912590556813,7,8
432,588,26,1.414973347970818,8,18
444,588,34,1.5314789170422551,12,22
456,588,44,1.6434526764861874,24,20
468,588,78,1.8920946026904804,25,53
480,588,110,2.041392685158225,42,68
492,588,144,2.1583624920952498,51,93
504,588,98,1.9912260756924949,29,69
516,588,52,1.7160033436347992,14,38
528,588,33,1.5185139398778875,9,24
